Inspection_ID,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results
2545726,Carole Robertson Center for Learning,Carole Robertson Center for Learning,2215466,Daycare (Under 2 Years),Risk 1 (High),2929 W 19TH ST ,CHICAGO,IL,60623,2021,License Re-Inspection,Pass
2545698,PERSHING CENTER,PERSHING CENTER,1493623,Grocery Store,Risk 2 (Medium),243 W PERSHING RD ,CHICAGO,IL,60609,2021,Canvass Re-Inspection,Pass
2545690,EMBASSY PUBLIC HOUSE,EMBASSY PUBLIC HOUSE,2808086,Restaurant,Risk 1 (High),1435 W TAYLOR ST ,CHICAGO,IL,60607,2021,License,Pass
2545660,BILLINGS CAFE,BILLINGS CAFE,2631159,Restaurant,Risk 1 (High),5815 S MARYLAND AVE ,CHICAGO,IL,60637,2021,Canvass,Pass
2545645,RAUL'S BAR & GRILL,RAUL'S BAR & GRILL,1143582,Restaurant,Risk 1 (High),3214 W 47TH ST ,CHICAGO,IL,60632,2021,Non-Inspection,No Entry
2545647,HASHI - CHOPSTICK'S,HASHI SUSHI,2659159,Restaurant,Risk 1 (High),2835 N BROADWAY ,CHICAGO,IL,60657,2021,Canvass,Out of Business
2545646,ST. MARY OF THE ANGELS,ST. MARY OF THE ANGELS,2224896,School,Risk 2 (Medium),1810 N HERMITAGE AVE ,CHICAGO,IL,60622,2021,Canvass,Pass
2545632,PANERA BREAD #6183,PANERA BREAD,2796845,Restaurant,Risk 1 (High),5841 S MARYLAND AVE ,CHICAGO,IL,60637,2021,Complaint,Pass
2545638,ST. ANDREW SCHOOL,ST. ANDREW SCHOOL,1981254,School,Risk 1 (High),1710 W ADDISON ST ,CHICAGO,IL,60613,2021,Canvass,Pass
2545633,ST. DANIEL THE PROPHET,ST. DANIEL THE PROPHET,2225080,School,Risk 1 (High),5337 S NATOMA AVE ,CHICAGO,IL,60638,2021,Canvass Re-Inspection,Pass
2545622,BRIDGEPORT FAMILY RESTAURANT,BRIDGEPORT FAMILY RESTAURANT,2026715,Restaurant,Risk 1 (High),3500 S HALSTED ST ,CHICAGO,IL,60609,2021,Non-Inspection,No Entry
2545597,LITTLE WOK,LITTLE WOK,2797005,Restaurant,Risk 1 (High),1950 W DIVISION ST ,CHICAGO,IL,60622,2021,License,Pass
2545587,"LITTLE PEOPLE LEARNING, INC","LITTLE PEOPLE LEARNING, INC",2570234,Children's Services Facility,Risk 1 (High),5650 S WOODLAWN AVE ,CHICAGO,IL,60637,2021,Canvass,Out of Business
2545592,RAINBO CLUB INC,RAINBO CLUB INC,2817531,Restaurant,Risk 3 (Low),1150 N DAMEN AVE ,CHICAGO,IL,60622,2021,License,Pass w/ Conditions
2545591,THREE HARMONY CHINESE RESTAURANT,THREE HARMONY CHINESE RESTAURANT,2823266,Restaurant,Risk 1 (High),4546 N MAGNOLIA AVE ,CHICAGO,IL,60640,2021,License,Not Ready
2538225,JA'GRILL,JA'GRILL,2786693,Restaurant,Risk 3 (Low),1407 S WASHTENAW AVE ,CHICAGO,IL,60608,2021,License,Pass
2545585,"SMARTY PANTS EARLY LEARNING CENTER, INC.","SMARTY PANTS EARLY LEARNING CENTER, INC.",2252871,Daycare Above and Under 2 Years,Risk 1 (High),710 E 47TH ST ,CHICAGO,IL,60653,2021,Canvass,Pass
2545572,JOE'S BARBEQ AND FISH #1,JOE'S BARBEQ AND FISH #1,2823164,Restaurant,Risk 1 (High),4805 W MADISON ST ,CHICAGO,IL,60644,2021,License,Pass
2545554,FIRST SLICE PIE CAFE,FIRST SLICE PIE CACE,2796705,Restaurant,Risk 1 (High),1969 W MONTROSE AVE ,CHICAGO,IL,60613,2021,License Re-Inspection,Pass
2545556,THE UNIVERSITY CHILDCARE OF CHICAGO,THE UNIVERSITY CHILDCARE OF CHICAGO,2216148,Children's Services Facility,Risk 1 (High),448-450 E 61st ST ,CHICAGO,IL,60637,2021,Canvass,Pass
2545552,ALBANY CHILD CARE CENTER,ALBANY CHILD CARE CENTER,2215697,Daycare Above and Under 2 Years,Risk 1 (High),5954 S ALBANY AVE ,CHICAGO,IL,60629,2021,Canvass,Out of Business
2545553,DIPPIN' DOTS ICE CREAM,DIPPIN' DOTS ICE CREAM,2220008,Mobile Food Preparer,Risk 2 (Medium),324 N Leavitt ST ,CHICAGO,IL,60612,2021,License,Pass
2545541,PIZZA MIA MIA,PIZZA MIA MIA,2713014,Restaurant,Risk 1 (High),4946 W DIVERSEY AVE ,CHICAGO,IL,60639,2021,Canvass,Out of Business
2545533,TEALICIOUS LINCOLN PARK LLC,TSAOCAA,2822817,Restaurant,Risk 1 (High),1327-1333 W FULLERTON AVE ,CHICAGO,IL,60614,2021,License,Pass
2545537,ESTRELLA NEGRA,ESTRELLA NEGRA,1927076,Restaurant,Risk 1 (High),2346 W FULLERTON AVE ,CHICAGO,IL,60647,2021,Canvass,Fail
2545481,"JONES ACADEMY, INCORPORATED","JONES ACADEMY, INCORPORATED",2215790,Daycare Above and Under 2 Years,Risk 1 (High),4344 S WENTWORTH AVE ,CHICAGO,IL,60609,2021,Canvass,Pass
2545495,EL NUEVO ALTENO,EL NUEVO ALTENO,2744290,Restaurant,Risk 1 (High),4501-4503 W BELMONT AVE ,CHICAGO,IL,60641,2021,Canvass,Out of Business
2545469,OSITO'S TAP,OSITO'S TAP,2658134,Restaurant,Risk 1 (High),2553 S RIDGEWAY AVE ,CHICAGO,IL,60623,2021,Non-Inspection,No Entry
2545797,J & A LIQUORS INC,J & A LIQUORS INC,26990,Restaurant,Risk 3 (Low),3213 W LAWRENCE AVE ,CHICAGO,IL,60625,2021,Complaint,No Entry
2545464,PHO HUNG,HING KEE,1273140,Restaurant,Risk 1 (High),2140A S ARCHER AVE ,CHICAGO,IL,60616,2021,Complaint,Fail
2545565,CENTERS FOR NEW HORIZONS AT DAWSON TECHNICAL INSTITUTE,CENTERS FOR NEW HORIZONS AT DAWSON TECHNICAL INSTITUTE,2215668,Daycare Above and Under 2 Years,Risk 1 (High),3901 S STATE ST ,CHICAGO,IL,60609,2021,Canvass,Out of Business
2545457,KIDDIE STEPS 4 YOU LEARNING CENTER INC.,KIDDIE STEPS 4 YOU LEARNING CENTER,2263322,Children's Services Facility,Risk 1 (High),1700 W 63RD ST ,CHICAGO,IL,60636,2021,License Re-Inspection,Pass
2545429,TACO BELL,TACO BELL,1926609,Restaurant,Risk 1 (High),3509 N HARLEM AVE ,CHICAGO,IL,60634,2021,Canvass,Out of Business
2535215,CIS CAFE,THE UNIVERSITY OF CHICAGO,1743117,Restaurant,Risk 1 (High),929 E 57TH ST ,CHICAGO,IL,60637,2021,Canvass,Pass
2545848,"CAROLINE BBQ, INC",CAROLINE BBQ,2694433,Restaurant,Risk 1 (High),3451 W MADISON ST ,CHICAGO,IL,60624,2021,Non-Inspection,No Entry
2545328,Levy Restaurants @Lincoln Park Zoo,PARK PLACE CAFE,1980748,Restaurant,Risk 1 (High),2200 N Cannon DR ,CHICAGO,IL,60614,2021,Canvass,Pass
2545309,SEVEN TREASURES,SEVEN TREASURES,6231,Restaurant,Risk 1 (High),2312 S WENTWORTH AVE ,CHICAGO,IL,60616,2021,Canvass Re-Inspection,Pass w/ Conditions
2545311,PUNKY'S PIZZA AND PASTA,PUNKY'S PIZZA AND PASTA,1300143,Restaurant,Risk 1 (High),2600 S WALLACE ST ,CHICAGO,IL,60616,2021,Complaint Re-Inspection,Pass
2545277,MCDONALDS,MCDONALDS,1679820,Restaurant,Risk 2 (Medium),4546 N KEDZIE AVE ,CHICAGO,IL,60625,2021,Canvass,Pass
2545275,CITGO,CITGO,2703503,Grocery Store,Risk 3 (Low),2800-2812 W 63RD ST ,CHICAGO,IL,60629,2021,License,Pass
2545344,LIGHT HOUSE LLC,LIGHT HOUSE,2762222,Restaurant,Risk 1 (High),5542 N KEDZIE AVE ,CHICAGO,IL,60625,2021,Canvass,Out of Business
2545346,"LOS TACOS EXPRESS, INC",LOS TACOS EXPRESS,2589855,Restaurant,Risk 1 (High),3742 W MONTROSE AVE ,CHICAGO,IL,60618,2021,Non-Inspection,No Entry
2545262,THE PROMONTORY,THE PROMONTORY,2269538,Restaurant,Risk 1 (High),5307-5319 S LAKE PARK AVE ,CHICAGO,IL,60615,2021,Non-Inspection,No Entry
2545269,"JUDES MINI MART,LLC",JUDES MINI MART,2708984,Grocery Store,Risk 3 (Low),4100 W 47TH ST ,CHICAGO,IL,60632,2021,Canvass,Out of Business
2545409,SWIFT AND SON'S TAVERN,SWIFT AND SON'S TAVERN,2574363,Restaurant,Risk 1 (High),3600-3602 N CLARK ST ,CHICAGO,IL,60613,2021,Non-Inspection,No Entry
2545253,FAST ENTERTAINMENT INC,ASTORIA,2252376,Restaurant,Risk 2 (Medium),3208 N KOSTNER AVE ,CHICAGO,IL,60641,2021,Canvass,Out of Business
2545186,UNITED CLUB,UNITED CLUB (T1-B6),2464515,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2021,Canvass,Out of Business
2545175,LITTLE ANGELS LEARNING CENTER,LITTLE ANGELS LEARNNG CENTER CORPORATION,2583933,Daycare Above and Under 2 Years,Risk 1 (High),6900-6908 S PULASKI RD ,CHICAGO,IL,60629,2021,Canvass,Pass
2545169,United Club,United Club  (T2 F8),2818284,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2021,License,Pass w/ Conditions
2545145,HAPPY MART,HAPPY MART,2689023,Grocery Store,Risk 1 (High),221 W 22ND PL ,CHICAGO,IL,60616,2021,Canvass,Pass w/ Conditions
2545135,STARBUCKS,STARBUCKS (T3/BAGGAGE CLAIM),34227,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,CHICAGO,IL,60666,2021,Canvass,Out of Business
2545120,BARSTOOL RIVER NORTH,BARSTOOL RIVER NORTH,2817317,Restaurant,Risk 1 (High),14-18 W HUBBARD ST ,CHICAGO,IL,60654,2021,License Re-Inspection,Pass
2545098,QUEEN SHEBA CAFE,QUEEN SHEBA CAFE,2636346,Restaurant,Risk 2 (Medium),4851 N BROADWAY ,CHICAGO,IL,60640,2021,License Re-Inspection,Pass
2545105,SEVEN TREASURES,SEVEN TREASURES,6231,Restaurant,Risk 1 (High),2312 S WENTWORTH AVE ,CHICAGO,IL,60616,2021,Canvass Re-Inspection,Fail
2545092,55TH ST HAROLD'S & FRESH LEMONADE,55TH ST HAROLD'S & FRESH LEMONADE,2534901,Restaurant,Risk 2 (Medium),740 W GARFIELD BLVD ,CHICAGO,IL,60609,2021,Complaint Re-Inspection,Pass
2545087,PAISANS PIZZA MILWAUKEE,,2803506,Restaurant,Risk 1 (High),1266 N MILWAUKEE AVE ,CHICAGO,IL,60622,2021,License,Not Ready
2545094,PETE'S PIZZA,PETE'S PIZZA,1245927,Restaurant,Risk 1 (High),3737 N WESTERN AVE ,CHICAGO,IL,60618,2021,Canvass Re-Inspection,Pass
2545088,BRIX CATERING & EVENTS,BRIX CATERING & EVENTS,2495689,Catering,Risk 1 (High),2036 W ROSCOE ST ,CHICAGO,IL,60618,2021,Non-Inspection,No Entry
2545041,JOE & THE JUICE,JOE & THE JUICE,2822559,Restaurant,Risk 1 (High),233 S WACKER DR ,CHICAGO,IL,60606,2021,License,Pass
2545034,HAMPTON INN/HILTON GARDEN INN/HOME 2 SUITES,HAMPTON INN/HILTON GARDEN INN/HOME 2 SUITES,2570085,Restaurant,Risk 1 (High),123 E CERMAK RD ,CHICAGO,IL,60616,2021,Canvass,Pass w/ Conditions
2545017,"BRIGHT START LEARNING CENTER, INC.",BRIGHT START LEARNING CENTER,2418157,Children's Services Facility,Risk 1 (High),3522 N CENTRAL AVE ,CHICAGO,IL,60634,2021,License Re-Inspection,Pass
2545036,"KID'Z COLONY DAYCARE, INC.","KID'Z COLONY DAYCARE, INC.",2215609,Daycare Above and Under 2 Years,Risk 1 (High),6287 S ARCHER AVE ,CHICAGO,IL,60638,2021,License,Pass
2545011,Acad. Of Scholastic Ach,Acad. Of Scholastic Ach,69457,School,Risk 2 (Medium),4651 W Madison ST ,CHICAGO,IL,60644,2021,Canvass,Pass
2544998,DOMINOS,DOMINOS,2738586,Restaurant,Risk 2 (Medium),5018 S PULASKI RD ,CHICAGO,IL,60632,2021,Canvass,Pass
2545055,BAMBOO GARDEN RESTAURANT,BAMBOO GARDEN,1741769,Restaurant,Risk 1 (High),3203 N CLARK ST ,CHICAGO,IL,60657,2021,Non-Inspection,No Entry
2544989,CHIU'S GREAT WALL RESTAURANT,CHIU'S GREAT WALL RESTAURANT,37803,Restaurant,Risk 1 (High),2127 S CHINA PL ,CHICAGO,IL,60616,2021,Canvass,Out of Business
2544963,HEMA'S KITCHEN,HEMA'S KITCHEN,1927793,Restaurant,Risk 1 (High),2439 W DEVON AVE ,CHICAGO,IL,60659,2021,Canvass,Out of Business
2544964,PARK MANOR,PARK MANOR,2630936,Children's Services Facility,Risk 1 (High),50 W 71ST ST ,CHICAGO,IL,60621,2021,Canvass,Out of Business
2544955,HEMA'S KITCHEN,HEMA'S KITCHEN,1927793,Restaurant,Risk 1 (High),2439 W DEVON AVE ,CHICAGO,IL,60659,2021,Complaint Re-Inspection,Pass
2544966,SEVEN TREASURES,SEVEN TREASURES,6231,Restaurant,Risk 1 (High),2312 S WENTWORTH AVE ,CHICAGO,IL,60616,2021,Canvass,Fail
2544940,SHOKRAN,SHOKRAN,1884050,Restaurant,Risk 1 (High),4027 W IRVING PARK RD ,CHICAGO,IL,60641,2021,Canvass,Pass
2544926,SZECHUAN CUISINE,SZECHUAN CUISINE,2222174,Restaurant,Risk 1 (High),2414 S WENTWORTH AVE ,CHICAGO,IL,60616,2021,Canvass,Out of Business
2544914,AUNTIE VEE'S KITCHEN,AUNTIE VEE'S KITCHEN,2817528,Mobile Food Preparer,Risk 2 (Medium),2300 S Throop ST ,CHICAGO,IL,60608,2021,License,Pass
2544916,SFERA SICILIAN STREET FOOD,SFERA SICILIAN STREET FOOD,2822753,Restaurant,All,5757-5759 N BROADWAY ,CHICAGO,IL,60660,2021,License,No Entry
2544917,CUETZALA GRO. RESTAURANT,CUETZALA GRO. RESTAURANT,1578895,Restaurant,Risk 1 (High),7360 N CLARK ST ,CHICAGO,IL,60626,2021,Canvass,Pass
2544889,UNITED CLUB,UNITED CLUB (T1-C16),2464521,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2021,Canvass,Out of Business
2544884,DABBLE,DABBLE,2822704,Restaurant,Risk 1 (High),1235 W 79TH ST ,CHICAGO,IL,60620,2021,License,Not Ready
2544896,ARAMARK @ LOYOLA DENOBILI,de NOBILI,2278073,Restaurant,Risk 1 (High),6350 N KENMORE AVE ,CHICAGO,IL,60660,2021,Canvass,Pass
2544877,Rollin' n Bowlin' Fresh Foods LLC,Rollin' n Bowlin' Fresh Foods LLC,2723739,Restaurant,All,6511 N SHERIDAN RD ,CHICAGO,IL,60626,2021,License,Not Ready
2544867,ROCKWELL MINI MART,ROCKWELL MINI MART,2060790,Grocery Store,Risk 3 (Low),4634 N ROCKWELL ST ,CHICAGO,IL,60625,2021,Canvass,Out of Business
2544850,"CHEF GRADY, LLC","CHEF GRADY,LLC",2665392,Restaurant,Risk 1 (High),918 S WESTERN AVE ,CHICAGO,IL,60612,2021,Non-Inspection,No Entry
2544838,AVVIO  INC,AVVIO,2822659,Restaurant,Risk 1 (High),4358-4360 N ELSTON AVE ,CHICAGO,IL,60641,2021,License,Pass w/ Conditions
2544830,D FRUTA LA VIDA,D FRUTA LA VIDA,2609195,Restaurant,Risk 2 (Medium),2937 W ARMITAGE AVE ,CHICAGO,IL,60647,2021,Canvass,Out of Business
2544796,PLANTASTIC LLC,PLANTASTIC,2814115,Restaurant,Risk 2 (Medium),7529 N CLARK ST ,CHICAGO,IL,60626,2021,License Re-Inspection,Pass
2544793,LA ROQUETA RESTAURANT,LA ROQUETA RESTAURANT,1823527,Restaurant,Risk 1 (High),4023-4025 W 31ST ST ,CHICAGO,IL,60623,2021,Canvass,Pass
2544791,JAIMITOS BURRITOS,JAIMITOS BURRITOS,47512,Restaurant,Risk 1 (High),1781 N CLYBOURN AVE ,CHICAGO,IL,60614,2021,Canvass,Pass
2544769,ESTRELLA NEGRA,ESTRELLA NEGRA,1927076,Restaurant,Risk 1 (High),2346 W FULLERTON AVE ,CHICAGO,IL,60647,2021,Non-Inspection,No Entry
2544760,TIME OUT MARKET,TIME OUT MARKET,2589939,Restaurant,Risk 1 (High),916-926 W FULTON MARKET ,CHICAGO,IL,60607,2021,Complaint Re-Inspection,Pass
2544754,HILTON GARDEN INN CHICAGO,THE GARDEN GRILLE,2808767,Restaurant,Risk 1 (High),66 E WACKER PL ,CHICAGO,IL,60601,2021,Canvass,Pass
2544743,CATALYST ELEMENTARY CIRCLE ROCK,CATALYST ELEMENTARY CIRCLE ROCK,1878466,School,Risk 1 (High),5600 W WASHINGTON BLVD ,CHICAGO,IL,60644,2021,Canvass,Pass
2544736,FIVE IRON GOLF CHICAGO,FIVE IRON GOLF CHICAGO,2812615,Restaurant,Risk 3 (Low),108 N STATE ST ,CHICAGO,IL,60602,2021,License,Pass
2544739,CHICAGO YACHT CLUB,CHICAGO YACHT CLUB,44199,Restaurant,Risk 1 (High),3180 N LAKE SHORE DR ,CHICAGO,IL,60657,2021,Canvass Re-Inspection,Pass
2544735,FIVE IRON GOLF CHICAGO,FIVE IRON GOLF CHICAGO,2812614,Restaurant,Risk 1 (High),108 N STATE ST ,CHICAGO,IL,60602,2021,License,Pass
2544894,MESA URBANA DOS,MESA URBANA DOS,2688954,Restaurant,Risk 1 (High),1935 N LINCOLN PARK WEST ,CHICAGO,IL,60614,2021,Canvass,No Entry
2544715,ROSEBUD-RUSH,ROSEBUD ON RUSH,28886,Restaurant,Risk 1 (High),55 E SUPERIOR ST ,CHICAGO,IL,60611,2021,Complaint Re-Inspection,Pass
2544719,RESTAURANT LOS LANGOSTINOS,RESTAURANT LOS LANGOSTINOS,1649402,Restaurant,Risk 1 (High),3059 S HARDING AVE ,CHICAGO,IL,60623,2021,Canvass,Pass
2544707,WEBER'S BAKERY INC,WEBER'S BAKERY INC,35541,Restaurant,Risk 2 (Medium),7055 W ARCHER AVE ,CHICAGO,IL,60638,2021,Complaint,No Entry
2544701,SALERNO'S PIZZA / WHISKEY HILL BREWING & PIZZA BA,SALERNO'S PIZZA / WHISKEY HILL BREWING & PIZZA B,2588932,Restaurant,Risk 1 (High),1629-1631 W HOWARD ST ,CHICAGO,IL,60626,2021,Non-Inspection,No Entry
2544704,THE FLOWER FLAT,THE FLOWER FLAT,2469660,Restaurant,Risk 1 (High),620 W ADDISON ST ,CHICAGO,IL,60613,2021,Canvass,Out of Business
2544700,LAS DELICIAS DE MORELIA INC,LAS DELICIAS DE MORELIA,2621803,Restaurant,Risk 1 (High),4754 W FULLERTON AVE ,CHICAGO,IL,60639,2021,Non-Inspection,No Entry
2544702,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHMA,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHMA,2658934,Restaurant,Risk 1 (High),6977-6981 N SHERIDAN RD ,CHICAGO,IL,60626,2021,Canvass,Out of Business
2544697,GORDON RAMSAY BURGER,GORDON RAMSAY BURGER,2813331,Restaurant,Risk 1 (High),2 E ONTARIO ST ,CHICAGO,IL,60611,2021,License Re-Inspection,Pass w/ Conditions
2544691,STARBUCKS COFFEE #10594,STARBUCKS COFFEE #10594,1695468,Restaurant,Risk 2 (Medium),39 S LA SALLE ST ,CHICAGO,IL,60603,2021,Canvass,Pass
2544679,MCDONALD'S RESTAURANT,MCDONALD'S,1225984,Restaurant,Risk 2 (Medium),6125 N MILWAUKEE AVE ,CHICAGO,IL,60646,2021,Complaint Re-Inspection,Pass
2544674,EINSTEIN BROS BAGELS #3463,EINSTEIN BROS BAGELS,1888343,Restaurant,Risk 1 (High),30 N LA SALLE ST ,CHICAGO,IL,60602,2021,Canvass,Pass
2544649,URBAN MARKET LLC,URBAN MARKET,2807567,Grocery Store,Risk 1 (High),1001 W CHICAGO AVE ,CHICAGO,IL,60642,2021,License,Not Ready
2544640,EXXON,EXXON,2817855,Grocery Store,Risk 3 (Low),3202 W CERMAK RD ,CHICAGO,IL,60623,2021,License,Not Ready
2544644,EL BURRITO FELIZ RESTAURANT,EL BURRITO FELIZ RESTAURANT,1817627,Restaurant,Risk 1 (High),3219 W CERMAK RD ,CHICAGO,IL,60623,2021,Canvass,Pass
2544628,TAQUERIA  CD  HIDALGO,TAQUERIA  CD  HIDALGO,2078867,Restaurant,Risk 1 (High),7104 N CLARK ST ,CHICAGO,IL,60626,2021,Canvass,Pass
2544615,GORDON RAMSAY BURGER,GORDON RAMSAY BURGER,2813331,Restaurant,Risk 1 (High),2 E ONTARIO ST ,CHICAGO,IL,60611,2021,License,Fail
2544595,KUDOS,PIZZA CALZONE,2575422,Restaurant,Risk 1 (High),5858 N LINCOLN AVE ,CHICAGO,IL,60659,2021,Canvass,Out of Business
2544587,OASIS FRESH FOOD INC.,OASIS FRESH FOOD INC.,2670633,Restaurant,Risk 1 (High),500 W DIVERSEY PKWY ,CHICAGO,IL,60614,2021,Canvass,Pass w/ Conditions
2544582,OLD CHICAGO PIZZA CO,OLD CHICAGO PIZZA CO,1337274,Restaurant,Risk 1 (High),742 E 79TH ST ,CHICAGO,IL,60619,2021,Complaint,No Entry
2544572,BIRRIERIA Y TAQUERIA LOPEZ,BIRRIERIA Y TAQUERIA LOPEZ,1908435,Restaurant,Risk 1 (High),2705 W 59TH ST ,CHICAGO,IL,60629,2021,Canvass,No Entry
2544574,THE DAVIS THEATER; CARBON ARC BAR & BOARD,DAVIS THEATER & CARBON ARC,2463341,Restaurant,Risk 1 (High),4614-4626 N LINCOLN AVE ,CHICAGO,IL,60625,2021,Canvass Re-Inspection,Pass
2544548,HALSTED STREET DELI,HALSTED STREET DELI,2064453,Restaurant,Risk 1 (High),222 N LA SALLE ST ,CHICAGO,IL,60601,2021,Non-Inspection,No Entry
2544517,ALLENDE RESTAURANT,ALLENDE RESTAURANT,27794,Restaurant,Risk 1 (High),2408 N LINCOLN AVE ,CHICAGO,IL,60614,2021,Canvass,Pass
2544514,Philly Corner,Philly Corner,2776090,Grocery Store,Risk 2 (Medium),1000 N CICERO AVE ,CHICAGO,IL,60651,2021,Canvass,Out of Business
2544508,"CAFE DESCARTES MIDWAY JV, LLC","CAFE DESCARTES MIDWAY JV, LLC",2796606,Restaurant,Risk 1 (High),5757 S CICERO AVE ,CHICAGO,IL,60638,2021,Canvass,Pass
2544501,GIO'S SPORTS BAR,GIO'S SPORTS BAR,1145075,Restaurant,Risk 1 (High),4857 N DAMEN AVE ,CHICAGO,IL,60625,2021,Canvass,Pass
2544502,"CHAVELO'S TACOS, INC",CHAVELO'S TACOS,2813532,Restaurant,Risk 1 (High),4359 W 47TH ST ,CHICAGO,IL,60632,2021,License Re-Inspection,Pass
2544459,ARAMI/WOODGRAIN,ARAMI/WOODGRAIN,2595116,Restaurant,Risk 1 (High),5700 S CICERO AVE ,CHICAGO,IL,60638,2021,Canvass,Pass
2544464,NORTH KENWOOD DAY CARE CENTER LLC,NORTH KENWOOD DAY CARE,2405798,Children's Services Facility,Risk 1 (High),516-520 E 43RD ST ,CHICAGO,IL,60653,2021,License,Pass
2544434,LUCY'S,LUCY'S,2818185,Restaurant,Risk 1 (High),1043 N CALIFORNIA AVE ,CHICAGO,IL,60622,2021,License,Pass
2544432,LUCY'S,LUCY'S,2818186,Restaurant,Risk 1 (High),1043 N CALIFORNIA AVE ,CHICAGO,IL,60622,2021,License,Pass
2544383,United Airlines Club,United Airlines Club (T-1 B-18),2818275,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2021,License,Not Ready
2544378,SONGBIRD ACADEMY & MONTESSORI,SONGBIRD ACADEMY & MONTESSORI,2575392,Children's Services Facility,Risk 1 (High),1908-1912 W MONTROSE AVE ,CHICAGO,IL,60613,2021,Canvass,Pass
